GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,pop_se,api,api_se,black,black_se,latino,latino_se,white,white_se
48061013305,4686,349.5440729483283,0.25480153649167736,0.05656689577985492,NA,NA,0.25457678225285374,0.27906976744186046,0,0.0018161840157644772,0,0.0018161840157644772,0.25224071702944945,0.056494003233027154,0.002560819462227913,0.002327267527779568,38358,6321.580547112462,14856,1263.8297872340424,0.3324129141886151,0.045545201294286804,4708,351.36778115501517,0,0.0025564698609394513,0,0.001807697174569316,0.9908666100254885,0.00494514073890976,0.00913338997451147,0.004859027704450274
48061013309,2849,163.5258358662614,0.36925236925236926,0.05790847040624383,NA,NA,0.37029215065117915,0,0,0.0029872370297902213,0,0.0029872370297902213,0.36925236925236926,0.05790847040624383,0,0.0029872370297902213,31540,2347.7203647416413,10100,885.1063829787234,0.3857493857493858,0.033466147199933426,2849,163.5258358662614,0,0.004224591121552452,0,0.0029872370297902213,0.9971919971919971,0.004298358216911509,0.002808002808002808,0.0021276449161438653
48061013402,1987,201.82370820668692,0.3895319577252139,0.07528805870005077,0,1,0.40544787847040337,0,0,0.0042831596869010264,0.0025163563160543532,0.002434137680219378,0.3895319577252139,0.07528805870005077,0,0.0042831596869010264,28375,5048.024316109422,10401,905.7750759878419,0.32016008004002,0.0411977948288377,1999,201.82370820668692,0.0015007503751875938,0.004518282477552611,0.0025012506253126563,0.0024196852026826007,0.9609804902451226,0.03746025168784305,0.03751875937968985,0.034154269701494634
48061013500,1755,137.38601823708206,0.20455840455840457,0.059899050625019386,0,1,0.23477070499657768,0.02962962962962963,0,0.004849366551494211,0.004558404558404558,0.009692166230057676,0.19544159544159545,0.05937017135918954,0.004558404558404558,0.002747994274818392,50610,4670.516717325228,30373,4287.537993920972,0.30231246474901297,0.04706260200835066,1773,140.4255319148936,0.009024252679075015,0.010403361419721324,0.0045121263395375075,0.009593614937293684,0.8341793570219966,0.037101715769414734,0.15228426395939088,0.026530735002219336
48061012613,5286,296.048632218845,0.09477866061293984,0.03525335262425347,0.03164556962025317,0,0.10571367429916542,0.009216589861751152,9.458948164964056e-4,0.0011488032744183315,0,0.0021850457767090222,0.09345440786984488,0.03561319010204993,3.7835792659856227e-4,0.0014948811385197547,70417,3472.3404255319147,26310,1590.8814589665653,0.2709042754445706,0.029336041341106685,5286,296.048632218845,0.02989027620128642,0.013871553440247989,0.04256526674233825,0.022529701888314223,0.8840332954975407,0.022250187656655224,0.041051835035944,0.015005196974442412
48061013306,2577,192.09726443768997,0.32518432285603416,0.06548246252348347,NA,NA,0.32229150428682773,1,0,0.003302537174184067,0,0.003302537174184067,0.3209157935584012,0.06509696219887645,0.004268529297632906,0.004470705975535529,28352,2466.2613981762916,11469,1144.6808510638298,0.33127651369070577,0.030083468878625994,2593,196.35258358662614,0,0.004641673777594653,0,0.0032821590041929583,0.9957578094870806,0.012472313204784655,0.004242190512919399,0.004442760220025482
48061010201,2273,199.3920972644377,0.19753629564452266,0.05650818934582981,NA,NA,0.200280767430978,0.15441176470588236,0,0.0037442315432786363,0,0.0037442315432786363,0.18829740431148262,0.055635340080136375,0.009238891333040036,0.00878839827614802,39185,6838.905775075988,18962,1796.3525835866262,0.1162280701754386,0.027276148548821672,2280,199.3920972644377,0,0.005278886011097779,0,0.003732736095558044,0.9403508771929825,0.03416929596099463,0.05964912280701754,0.017085199383881658
48061010800,7332,485.1063829787234,0.436442989634479,0.060081292108614986,NA,NA,0.45794392523364486,0.3314814814814815,0,0.0015753071434375192,0,0.0015753071434375192,0.38761593016912166,0.056375248139894404,0.048827059465357335,0.031340080579324206,33676,6631.003039513677,14437,1159.8784194528876,0.13982993656363882,0.034365847749723455,7409,482.06686930091183,0,0.0022046675086357884,0,0.0015589353456180173,0.8480226751248482,0.03193570423219796,0.1457686597381563,0.033300455598987685
48061010500,2667,181.1550151975684,0.28721409823772026,0.0775901656037083,0,NA,0.2946153846153846,0,0,0.0031910904753927037,0,0.0031910904753927037,0.28721409823772026,0.0775901656037083,0,0.0031910904753927037,30927,4103.951367781155,13890,2687.5379939209724,0.25646794150731156,0.03502948574726664,2667,181.1550151975684,0.0011248593925759281,0.0033179045602757485,0,0.0031910904753927037,0.974878140232471,0.02465683831513771,0.023997000374953132,0.019077034454390344
48061010601,8422,437.6899696048632,0.3667774875326526,0.060364115036859,0.2967741935483871,0,0.4079308452250274,0.085995085995086,0.005461885537876989,0.0041768250167128875,0,0.0013714262616580256,0.35300403704583233,0.06216755714797396,0.008311564948943244,0.004091541095026195,31382,2528.87537993921,15864,1136.7781155015198,0.10364842454394693,0.030009401895323938,8442,436.4741641337386,0.0183605780620706,0.009914356248078246,0.002369106846718787,0.0014349681677919943,0.8641317223406776,0.0290409289436252,0.09642264866145463,0.01227606010171914
